Symbol,Name,LastSale,MarketCap,Sector,Industry
GSOL,Global Sources Ltd.,7.84,185002236.2,Consumer Services,Advertising
LWAY,"Lifeway Foods, Inc.",11.35,185055053.5,Consumer Non-Durables,Packaged Foods
JPEP,JP Energy Partners LP,5.08,185895198.4,Energy,Oil Refining/Marketing
HYB,"New America High Income Fund, Inc. (The)",8.01,186249913.7,n/a,n/a
JMBA,"Jamba, Inc.",12.35,186341468.3,Consumer Services,Restaurants
ADUS,Addus HomeCare Corporation,16.8,186784248,Health Care,Medical/Nursing Services
SRNE,"Sorrento Therapeutics, Inc.",4.95,186947070.8,Health Care,Biotechnology: Commercial Physical & Biological Resarch
ENZY          ,Enzymotec Ltd.,8.23,186971897.1,Consumer Durables,Specialty Chemicals
AUDC,AudioCodes Ltd.,4.49,187056807.9,Public Utilities,Telecommunications Equipment
ITEK,Inotek Pharmaceuticals Corporation,7.09,187248679.6,Health Care,Major Pharmaceuticals
APF,"Morgan Stanley Asia-Pacific Fund, Inc.",13.38,187447484.6,n/a,n/a
MBVT,"Merchants Bancshares, Inc.",29.58,187536726.7,Finance,Major Banks
SZYM,"Solazyme, Inc.",2.33,187655872.3,Basic Industries,Major Chemicals
TRTLU,Terrapin 3 Acquisition Corporation,10.15,187775000,Finance,Business Services
NATH,"Nathan&#39;s Famous, Inc.",43.19,187821303.2,Consumer Services,Restaurants
PTI,"Proteostasis Therapeutics, Inc.",9.84,188056953.4,Health Care,Major Pharmaceuticals
PTCT,"PTC Therapeutics, Inc.",5.5,188496104.5,Health Care,Major Pharmaceuticals
GHI,"Global High Income Dollar Fund, Inc.",8.735,188604687.5,n/a,n/a
MFSF,MutualFirst Financial Inc.,25.58,189165660.4,Finance,Major Banks
MSF,"Morgan Stanley Emerging Markets Fund, Inc.",13.02,189463811,n/a,n/a
USDP,USD Partners LP,8.35,189474709.7,Transportation,Railroads
ARC,"ARC Document Solutions, Inc.",4.03,189527559.1,Consumer Services,Professional Services
RAIL,"Freightcar America, Inc.",15.36,189612195.8,Capital Goods,Railroads
DNAI,"ProNAi Therapeutics, Inc.",6.31,189927056.3,Health Care,Major Pharmaceuticals
DSPG,"DSP Group, Inc.",8.78,190019156.9,Technology,Semiconductors
MITK,"Mitek Systems, Inc.",5.94,190069640.6,Technology,Computer peripheral equipment
BCOV,Brightcove Inc.,5.81,190332834.4,Technology,EDP Services
GPAC,Global Partner Acquisition Corp.,9.82,190569375,Finance,Business Services
BCRX,"BioCryst Pharmaceuticals, Inc.",2.59,190701223.4,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
FBIZ,"First Business Financial Services, Inc.",21.98,191229780.6,Finance,Major Banks
NTC,Nuveen Connecticut Premium Income Municipal Fund,13.02,191250467.5,n/a,n/a
ABTL,Autobytel Inc.,18,191279232,Technology,"Computer Software: Programming, Data Processing"
PULB,Pulaski Financial Corp.,16.01,191450109.6,Finance,Savings Institutions
CBMG,"Cellular Biomedicine Group, Inc.",16.42,191780165,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
GILT,Gilat Satellite Networks Ltd.,4.33,191782831.5,Technology,Radio And Television Broadcasting And Communications Equipment
EMF,Templeton Emerging Markets Fund,10.64,191936183.6,n/a,n/a
MNRK,"Monarch Financial Holdings, Inc.",16.16,191995489.4,Finance,Major Banks
NXR,Nuveen Select Tax Free Income Portfolio III,14.73,192161098.8,n/a,n/a
ACTG,Acacia Research Corporation,3.8,192798346.6,Miscellaneous,Multi-Sector Companies
PLPC,Preformed Line Products Company,37.02,192904482.4,Basic Industries,Water Supply
AIF,Apollo Tactical Income Fund Inc.,13.34,192950106.8,n/a,n/a
MXWL,"Maxwell Technologies, Inc.",6.07,193329087.2,Miscellaneous,Industrial Machinery/Components
WPRT,Westport Innovations Inc,3.01,193646113.6,Energy,Industrial Machinery/Components
GNE,Genie Energy Ltd.,7.87,193734129.4,Public Utilities,Power Generation
WKHS,"Workhorse Group, Inc.",10.73,194348595,Capital Goods,Auto Manufacturing
VSAR,"Versartis, Inc.",6.61,194481052.7,Health Care,Major Pharmaceuticals
VTVT,vTv Therapeutics Inc.,5.93,194578125,Health Care,Major Pharmaceuticals
EDF,Stone Harbor Emerging Markets Income Fund,12.33,194588373.3,n/a,n/a
HSKA,Heska Corporation,29.54,194641895.8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
KMPH,"KemPharm, Inc.",13.48,194770174.5,Health Care,Major Pharmaceuticals
ONE           ,"Higher One Holdings, Inc.",4.06,194801686.7,Miscellaneous,Business Services
BBSI,"Barrett Business Services, Inc.",27.07,194959818.3,Technology,Professional Services
FLKS,"Flex Pharma, Inc.",10.86,194988845.6,Health Care,Major Pharmaceuticals
OPY,"Oppenheimer Holdings, Inc.",14.55,195073217.7,Finance,Investment Bankers/Brokers/Service
FELP,Foresight Energy LP,1.5,195218050.5,Energy,Coal Mining
SNDX,"Syndax Pharmaceuticals, Inc.",11.24,195268867,Health Care,Major Pharmaceuticals
HBCP,"Home Bancorp, Inc.",27,195312438,Finance,Banks
TLYS,"Tilly&#39;s, Inc.",6.86,195332552.4,Consumer Services,Clothing/Shoe/Accessory Stores
CCLP,CSI Compressco LP,5.9,195823702.2,Energy,Oilfield Services/Equipment
CTRL,Control4 Corporation,8.36,195990920.4,Capital Goods,Electrical Products
BIF,"USLIFE Income Fund, Inc.",7.69,196061048.7,n/a,n/a
GHM,Graham Corporation,20,196160080,Technology,Industrial Machinery/Components
CORR,"CorEnergy Infrastructure Trust, Inc.",16.46,196301762.5,Consumer Services,Real Estate Investment Trusts
CARO,Carolina Financial Corporation,16.31,196496600.7,Finance,Major Banks
ASEI,"American Science and Engineering, Inc.",27.43,196681713,Health Care,Medical Electronics
NVIV,InVivo Therapeutics Holdings Corp.,7.16,197600935.4,Health Care,Medical/Dental Instruments
OLBK,"Old Line Bancshares, Inc.",18.3,197686848,Finance,Major Banks
AVNU,"Avenue Financial Holdings, Inc.",19.19,197695552.7,Finance,Major Banks
NAP,Navios Maritime Midstream Partners LP,9.77,198119030.1,n/a,n/a
JTD,Nuveen Tax-Advantaged Dividend Growth Fund,13.6811,198161704,n/a,n/a
ASA,ASA Gold and Precious Metals Limited,10.307,198821050.8,n/a,n/a
ABUS,Arbutus Biopharma Corporation,3.64,198837558.9,Health Care,Major Pharmaceuticals
ANCX,Access National Corporation,18.96,199916629,Finance,Savings Institutions
CRIS,"Curis, Inc.",1.55,199984143.4,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BLMT,"BSB Bancorp, Inc.",22.01,200094890.9,Finance,Major Banks
HEQ,John Hancock Hedged Equity & Income Fund,14.6,200492675,n/a,n/a
ABCD,"Cambium Learning Group, Inc.",4.39,200780241,Consumer Services,Publishing
CHFN,Charter Financial Corp.,13.37,200829018.5,Finance,Savings Institutions
JHP,Nuveen Quality Preferred Income Fund 3,8.47,200829264.8,n/a,n/a
ARCX,Arc Logistic Partners LP,10.43,200834771.1,Energy,Oil Refining/Marketing
DHG,"DWS High Income Opportunities Fund, Inc.",13.24,201001325.6,n/a,n/a
FFKT,Farmers Capital Bank Corporation,26.8,201011926,Finance,Major Banks
HURC,"Hurco Companies, Inc.",30.63,201055840.7,Capital Goods,Industrial Machinery/Components
STRT,Strattec Security Corporation,55.34,201290340.3,Capital Goods,Auto Parts:O.E.M.
NSL,Nuveen Senior Income Fund,5.91,201523565.2,n/a,n/a
CARB,"Carbonite, Inc.",7.48,201732802.5,Technology,EDP Services
TBBK,"The Bancorp, Inc.",5.35,202006568,Finance,Major Banks
FNLC,"First Bancorp, Inc (ME)",18.75,202018481.3,Finance,Major Banks
TSQ,"Townsquare Media, Inc.",11.31,202034126.6,Consumer Services,Broadcasting
CLFD,"Clearfield, Inc.",14.76,202285726.2,Public Utilities,Telecommunications Equipment
FLC,Flaherty & Crumrine Total Return Fund Inc,20.45,202410357.7,n/a,n/a
ENZ,"Enzo Biochem, Inc.",4.41,203270130,Health Care,Medical Specialities
CSI,Cutwater Select Income Fund,19,203463343,n/a,n/a
HALL,"Hallmark Financial Services, Inc.",10.71,203572756.2,Finance,Property-Casualty Insurers
PGP,Pimco Global Stocksplus & Income Fund,19.52,203684075.2,n/a,n/a
NVEE,"NV5 Global, Inc.",25.09,204125716.6,Consumer Services,Other Consumer Services
HCCI,"Heritage-Crystal Clean, Inc.",9.15,204196697.9,Basic Industries,Miscellaneous
GDL,The GDL Fund,9.97,204283814.5,n/a,n/a
BBW,"Build-A-Bear Workshop, Inc.",12.47,204325838.2,Consumer Services,Recreational Products/Toys
AFC,Ares Capital Corporation,25.55,204400000,n/a,n/a
NTLS,NTELOS Holdings Corp.,9.21,204994282.7,Public Utilities,Telecommunications Equipment
JGV,Nuveen Global Equity Income Fund ,10.77,205054434.9,n/a,n/a
BKEPP,"Blueknight Energy Partners L.P., L.L.C.",6.81,205380195.4,Energy,Natural Gas Distribution
BNY,BlackRock New York Investment Quality Municipal Trust Inc. (Th,15.91,205416348.8,n/a,n/a
VBF,Invesco Bond Fund,18.11,206038719.6,n/a,n/a
MSD,"Morgan Stanley Emerging Markets Debt Fund, Inc.",8.97,206397968.8,n/a,n/a
IRMD,iRadimed Corporation,18.72,206571643.2,Health Care,Medical/Dental Instruments
ATHX,"Athersys, Inc.",2.47,206788780.4,Health Care,Major Pharmaceuticals
FLDM,Fluidigm Corporation,7.18,207101399.1,Capital Goods,Biotechnology: Laboratory Analytical Instruments
BLCM,"Bellicum Pharmaceuticals, Inc.",7.71,207974536.1,Health Care,Major Pharmaceuticals
MEMP,Memorial Production Partners LP,2.51,208405601.2,Energy,Oil & Gas Production
INB,"Cohen & Steers Global Income Builder, Inc.",9.05,208444785.7,n/a,n/a
DMTX,"Dimension Therapeutics, Inc.",8.34,208474321.1,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
TTOO,"T2 Biosystems, Inc.",8.6,208540187.4,Health Care,Medical/Dental Instruments
GPIA,GP Investments Acquisition Corp.,9.71,209371875,Finance,Business Services
ENVA,"Enova International, Inc.",6.32,209526795.7,Finance,Finance: Consumer Services
MCBC,Macatawa Bank Corporation,6.18,209657198.3,Finance,Major Banks
EDGE,"Edge Therapeutics, Inc.",7.29,210048373.8,Health Care,Major Pharmaceuticals
IVH,Ivy High Income Opportunities Fund,12.68,210070663.2,n/a,n/a
MHY,"Western Asset Managed High Income Fund, Inc.",4.46,210527324.6,n/a,n/a
FMBH,"First Mid-Illinois Bancshares, Inc.",24.99,211322987,Finance,Major Banks
JKI,iShares Morningstar Mid-Cap ETF,124.43,211531000,n/a,n/a
PTSI,"P.A.M. Transportation Services, Inc.",29.82,212162173,Transportation,Trucking Freight/Courier Services
RDEN,"Elizabeth Arden, Inc.",7.09,212340657.5,Consumer Non-Durables,Package Goods/Cosmetics
AMNB,"American National Bankshares, Inc.",24.6,212466313.2,Finance,Major Banks
JDD,Nuveen Diversified Dividend and Income Fund,10.66,212548940.5,n/a,n/a
BBOX,Black Box Corporation,13.82,212585804.5,Technology,Computer Communications Equipment
WTI,"W&T Offshore, Inc.",2.78,212688039.4,Energy,Oil & Gas Production
PNX,"Phoenix Companies, Inc. (The)",36.69,212802000,Finance,Life Insurance
CRCM,"Care.com, Inc.",6.56,212866981.6,Consumer Services,Other Consumer Services
TRR,"TRC Companies, Inc.",6.86,212930524.1,Consumer Services,Military/Government/Technical
GAIN,Gladstone Investment Corporation,7.05,213410253.9,n/a,n/a
OSBC,"Old Second Bancorp, Inc.",7.24,213460026,Finance,Major Banks
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,13.15,213489487.3,n/a,n/a
ERA,"Era Group, Inc.",10.45,214180002.3,Transportation,Transportation Services
BLBD,Blue Bird Corporation,10.21,214272481.5,Capital Goods,Construction/Ag Equipment/Trucks
CRMT,"America&#39;s Car-Mart, Inc.",26.33,214362640.7,Consumer Durables,Automotive Aftermarket
ETX           ,Eaton Vance Municipal Income 2028 Term Trust,19.46,214679684.2,n/a,n/a
CECE,CECO Environmental Corp.,6.31,214843031.4,Capital Goods,Pollution Control Equipment
JCE,Nuveen Core Equity Alpha Fund,13.43,215171243,n/a,n/a
HZN,Horizon Global Corporation,11.88,215406556.2,Capital Goods,Auto Parts:O.E.M.
OVAS,Ovascience Inc.,7.91,215944566.2,Health Care,Major Pharmaceuticals
KIO,KKR Income Opportunities Fund,14.16,216014141.8,n/a,n/a
ESIO,"Electro Scientific Industries, Inc.",6.94,216023371.8,Miscellaneous,Industrial Machinery/Components
BCOR,"Blucora, Inc.",5.25,216337563.8,Technology,EDP Services
JONE,"Jones Energy, Inc.",3.5,216384129.5,Energy,Oil & Gas Production
BXE,Bellatrix Exploration Ltd,1.13,216919218.3,Energy,Oil & Gas Production
AMRS,"Amyris, Inc.",1.13,217156809.8,Basic Industries,Major Chemicals
TPUB,Tribune Publishing Company,8.29,217465609.5,Consumer Services,Newspapers/Magazines
OCUL,"Ocular Therapeutix, Inc.",8.79,217554970,Health Care,Major Pharmaceuticals
ACAT,Arctic Cat Inc.,16.71,217640497.9,Capital Goods,Industrial Specialties
PFN,PIMCO Income Strategy Fund II,8.65,217905013.2,n/a,n/a
MYF,Blackrock MuniYield Investment Fund,16.02,217926307.8,n/a,n/a
AFH,"Atlas Financial Holdings, Inc.",18.13,217982338.4,Finance,Property-Casualty Insurers
RM,Regional Management Corp.,16.98,218052558.4,Finance,Finance: Consumer Services
GNMK,"GenMark Diagnostics, Inc.",5.11,218490697.3,Health Care,Medical/Dental Instruments
SCD,LMP Capital and Income Fund Inc.,12.16,218677305,n/a,n/a
NTP,Nam Tai Property Inc.,5.96,218729449.1,Finance,Real Estate
DSX,Diana Shipping inc.,2.65,218746945.1,Transportation,Marine Transportation
CJES,"C&J Energy Services, Ltd.",1.82,218777120.4,Energy,Oilfield Services/Equipment
MEP,"Midcoast Energy Partners, L.P.",4.84,218865342.1,Public Utilities,Oil & Gas Production
LMNR,Limoneira Co,15.45,218957029.2,Consumer Non-Durables,Farming/Seeds/Milling
JOUT,Johnson Outdoors Inc.,21.88,219191017.5,Consumer Non-Durables,Recreational Products/Toys
CNBKA,"Century Bancorp, Inc.",39.37,219208577.3,Finance,Major Banks
ZIXI,Zix Corporation,3.91,219579476.9,Technology,EDP Services
AFOP,"Alliance Fiber Optic Products, Inc.",13.91,219619217.4,Technology,Semiconductors
QTNT,Quotient Limited,8.65,219787417.5,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
WFBI,WashingtonFirst Bankshares Inc,20.9,219838760.9,Finance,Major Banks
ISRL,"Isramco, Inc.",81,220132971,Energy,Oil & Gas Production
CCM,Concord Medical Services Holdings Limited,4.9,220232621.7,Health Care,Medical/Nursing Services
BIS,ProShares UltraShort Nasdaq Biotechnology,49.05,220725000,n/a,n/a
EVF,Eaton Vance Senior Income Trust,5.84,221140984.9,n/a,n/a
GF,"New Germany Fund, Inc. (The)",13.7989,221168769.2,n/a,n/a
CSWC,Capital Southwest Corporation,14.1,221652451.2,n/a,n/a
IGI,Western Asset Investment Grade Defined Opportunity Trust Inc.,20.6,221731004.6,n/a,n/a
EFM,"Entergy Mississippi, Inc.",25.7539,221741079,Public Utilities,Electric Utilities: Central
ALCO,"Alico, Inc.",26.76,221828705.9,Consumer Non-Durables,Farming/Seeds/Milling
BLDP,"Ballard Power Systems, Inc.",1.42,222708805.5,Energy,Industrial Machinery/Components
ORC,"Orchid Island Capital, Inc.",10.25,222963227.5,Consumer Services,Real Estate Investment Trusts
TAXI,Medallion Financial Corp.,9.16,223013747.6,Finance,Finance: Consumer Services
LMRK,Landmark Infrastructure Partners LP,14.9091,223116068,Consumer Services,Real Estate
OXFD,Oxford Immunotec Global PLC,9.89,223176543.3,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
FSFR,Fifth Street Senior Floating Rate Corp.,7.59,223652769.1,n/a,n/a
FCEL,"FuelCell Energy, Inc.",7.72,223737064.2,Miscellaneous,Industrial Machinery/Components
WMAR,"West Marine, Inc.",9.05,223840057.4,Consumer Durables,Automotive Aftermarket
PEIX,"Pacific Ethanol, Inc.",5.27,224074186.7,Basic Industries,Major Chemicals
IDRA,"Idera Pharmaceuticals, Inc.",1.85,224360004.3,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
MLR,"Miller Industries, Inc.",19.81,224755543.6,Capital Goods,Construction/Ag Equipment/Trucks
ATLO,Ames National Corporation,24.15,224858549,Finance,Major Banks
HOV,Hovnanian Enterprises Inc,1.53,225093797.4,Capital Goods,Homebuilding
ENOC,"EnerNOC, Inc.",7.35,225237898.2,Technology,"Computer Software: Programming, Data Processing"
ZGNX,"Zogenix, Inc.",9.1,225325100,Health Care,Major Pharmaceuticals
RTIX,"RTI Surgical, Inc.",3.9,225432132.9,Health Care,Industrial Specialties
NNC,Nuveen North Carolina Premium Income Municipal Fund,13.64,225721662.8,n/a,n/a
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",13.16,225904717.9,n/a,n/a
AMSGP,Amsurg Corp.,131.01,225992250,Health Care,Medical/Nursing Services
CHSCP,CHS Inc,31.31,226441998,Consumer Services,Farming/Seeds/Milling
SIXD,"6D Global Technologies, Inc.",2.9,226918805.6,Consumer Services,Professional Services
RELY,"Real Industry, Inc. ",7.87,227378198.4,Consumer Non-Durables,Telecommunications Equipment
CHN,"China Fund, Inc. (The)",14.52,227703061.1,n/a,n/a
DHF,Dreyfus High Yield Strategies Fund,3.14,227956294.4,n/a,n/a
FXCB,"Fox Chase Bancorp, Inc.",19.4,228291246,Finance,Banks
GDEN,"Golden Entertainment, Inc.",10.38,228391098.5,Consumer Services,Services-Misc. Amusement & Recreation
NUTR,Nutraceutical International Corporation,24.26,228490844.9,Consumer Durables,Specialty Chemicals
OIBR,Oi S.A.,0.3272,229200655.2,Public Utilities,Telecommunications Equipment
NQP,"Nuveen Pennsylvania Investment Quality Municipal Fund, Inc.",14.23,229235395.9,n/a,n/a
RRM,RR Media Ltd.,13.19,229401429.7,Consumer Services,Telecommunications Equipment
MIE,"Cohen & Steers MLP Income and Energy Opportunity Fund, Inc.",8.56,229874100.6,n/a,n/a
NKSH,"National Bankshares, Inc.",33.04,229891461,Finance,Major Banks
MYJ,"Blackrock MuniYield New Jersey Fund, Inc.",16.16,229935969.8,n/a,n/a
PICO,PICO Holdings Inc.,9.99,229940239.6,Finance,Real Estate
VEC,"Vectrus, Inc.",21.71,230088528.5,Consumer Services,Diversified Commercial Services
BSL,Blackstone GSO Senior Floating Rate Term Fund,15.14,230353358.9,n/a,n/a
UTMD,"Utah Medical Products, Inc.",61.39,230421226,Health Care,Medical/Dental Instruments
DGII,Digi International Inc.,8.94,230700007.8,Technology,Computer Communications Equipment
PFSW,"PFSweb, Inc.",12.78,230979381.1,Miscellaneous,Business Services
CHMA,"Chiasma, Inc.",9.66,231229256.2,Health Care,Major Pharmaceuticals
ARTNA,Artesian Resources Corporation,25.52,231352044.9,Public Utilities,Water Supply
EBTC,Enterprise Bancorp Inc,22.36,231669187.4,Finance,Major Banks
SILC,Silicom Ltd,31.91,232135134.5,Technology,Computer Communications Equipment
AMRC,"Ameresco, Inc.",4.97,232443132.7,Basic Industries,Engineering & Construction
ABTX,"Allegiance Bancshares, Inc.",18.17,232811937.5,Finance,Major Banks
RNET,"RigNet, Inc.",13.16,233694556.2,Consumer Services,Telecommunications Equipment
IMDZ,Immune Design Corp.,11.62,234064158.3,Health Care,Major Pharmaceuticals
TAX,"Liberty Tax, Inc.",18.19,234138187.5,Miscellaneous,Multi-Sector Companies
FGM,First Trust Germany AlphaDEX Fund,36.0611,234397222.1,n/a,n/a
AFT,Apollo Senior Floating Rate Fund Inc.,15.07,234686029.3,n/a,n/a
ASC,Ardmore Shipping Corporation,8.99,234722643,Transportation,Marine Transportation
AMID,"American Midstream Partners, LP",7.6,234761408.4,Public Utilities,Natural Gas Distribution
FSZ,First Trust Switzerland AlphaDEX Fund,39.8,234820079.6,n/a,n/a
PSCH,PowerShares S&P SmallCap Health Care Portfolio,62.66,234975000,n/a,n/a
CMRX,"Chimerix, Inc.",5.09,235069001.4,Health Care,Major Pharmaceuticals
SRDX,"SurModics, Inc.",18.09,235098363.6,Health Care,Medical/Dental Instruments
NUW,Nuveen AMT-Free Municipal Value Fund,17.77,236931230.6,n/a,n/a
HCLP,Hi-Crush Partners LP,6.4,237206700.8,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
SJT,San Juan Basin Royalty Trust,5.09,237238771.6,Energy,Oil & Gas Production
TTGT,"TechTarget, Inc.",7.37,237456145.2,Miscellaneous,Business Services
LBIO,"Lion Biotechnologies, Inc.",4.89,237496150.8,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PFL,PIMCO Income Strategy Fund,9.48,238181378.6,n/a,n/a
ARDX,"Ardelyx, Inc.",6.88,238246818.2,Health Care,Major Pharmaceuticals
WAC,Walter Investment Management Corp.,6.71,238697547.6,Finance,Finance: Consumer Services
ELRC,Electro Rent Corporation,9.9,238864655.7,Technology,Diversified Commercial Services
COMT,iShares Commodities Select Strategy ETF,29.87,238960000,n/a,n/a
TCX,Tucows Inc.,22.39,239288915.7,Technology,EDP Services
PNQI,PowerShares Nasdaq Internet Portfolio,74.8,239360000,n/a,n/a
GOF,Guggenheim Strategic Opportunities Fund,16.42,239778747.7,n/a,n/a
DMO,Western Asset Mortgage Defined Opportunity Fund Inc,23.04,239861099.5,n/a,n/a
DMB,"Dreyfus Municipal Bond Infrastructure Fund, Inc.",13.05,239884852.1,n/a,n/a
RDNT,"RadNet, Inc.",5.21,240288695.9,Health Care,Medical Specialities
RMT,"Royce Micro-Cap Trust, Inc.",6.9,240617103.6,n/a,n/a
SGI,Silicon Graphics International Corp,6.74,240771651.8,Technology,Computer Manufacturing
APIC,Apigee Corporation,8.08,240790504.4,Technology,Computer Software: Prepackaged Software
FMNB,Farmers National Banc Corp.,8.94,240803227,Finance,Major Banks
KNOP,KNOT Offshore Partners LP,17.45,240940875,Consumer Services,Marine Transportation
HCAC,Hennessy Capital Acquisition Corp. II,9.66,241015889.1,Finance,Business Services
NXP,Nuveen Select Tax Free Income Portfolio,14.55,241098010.5,n/a,n/a
GLDD,Great Lakes Dredge & Dock Corporation,3.99,241123045.6,Basic Industries,Military/Government/Technical
AGTC,Applied Genetic Technologies Corporation,13.38,241348359.7,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
EACQ,Easterly Acquisition Corp.,9.69,242250000,Finance,Business Services
TNAV,"TeleNav, Inc.",5.86,242458824.4,Capital Goods,Industrial Machinery/Components
IMMR,Immersion Corporation,8.55,242476803,Technology,Computer peripheral equipment
NWHM,New Home Company Inc. (The),11.8,242487616.4,Capital Goods,Homebuilding
BPOPN,"Popular, Inc.",20.25,243000000,Finance,Major Banks
ARLZ,Aralez Pharmaceuticals Inc.,3.8,243049212.2,Health Care,Major Pharmaceuticals
PRMW,Primo Water Corporation,9.42,243182820.1,Consumer Non-Durables,Food Distributors
AGYS,"Agilysys, Inc.",10.59,243295253,Technology,EDP Services
BPK,Blackrock Municipal 2018 Term Trust,15.32,243710989,n/a,n/a
BFIN,BankFinancial Corporation,12.07,243814000,Finance,Savings Institutions
ELEC,Electrum Special Acquisition Corporation,9.762,244050000,Finance,Business Services
IDE,"Voya Infrastructure, Industrials and Materials Fund",12.33,244195650,n/a,n/a
TLGT,"Teligent, Inc.",4.62,244273042.9,Health Care,Major Pharmaceuticals
LMAT,"LeMaitre Vascular, Inc.",13.32,244284857.3,Health Care,Medical/Dental Instruments
SQQQ,ProShares UltraPro Short QQQ,19.58,244750000,n/a,n/a
NPD,China Nepstar Chain Drugstore Ltd,2.48,244776000,Health Care,Medical/Nursing Services
AOSL,Alpha and Omega Semiconductor Limited,11.06,244841966.6,Technology,Semiconductors
ELECU,Electrum Special Acquisition Corporation,9.8,245000000,Finance,Business Services
CYTK,"Cytokinetics, Incorporated",6.19,245079481.5,Health Care,Major Pharmaceuticals
VNCE,Vince Holding Corp.,6.67,245318711.4,Consumer Services,Clothing/Shoe/Accessory Stores
CZNC,Citizens & Northern Corp,20.27,246302959.2,Finance,Major Banks
ODC,Oil-Dri Corporation Of America,34,246468856,Consumer Durables,Miscellaneous manufacturing industries
SGC,"Superior Uniform Group, Inc.",17.64,246644279.3,Consumer Non-Durables,Apparel
DMRC,Digimarc Corporation,27.25,247213825.8,Technology,EDP Services
CLACU,Capitol Acquisition Corp. III,9.9,247500000,Finance,Business Services
SRSC,Sears Canada Inc. ,2.43,247562718.7,Consumer Services,Department/Specialty Retail Stores
WILN,Wi-Lan Inc,2.05,247727018.4,Miscellaneous,Multi-Sector Companies
KMF,"Kayne Anderson Midstream Energy Fund, Inc",11.19,247761113.4,n/a,n/a
MCFT,"MCBC Holdings, Inc.",13.12,247810179.5,Capital Goods,Marine Transportation
PCQ,PIMCO California Municipal Income Fund,15.94,247843759.5,n/a,n/a
NXQ,Nuveen Select Tax Free Income Portfolio II,14,247992178,n/a,n/a
HEOP,Heritage Oaks Bancorp,7.26,248042938.4,Finance,Major Banks
MGU,Macquarie Global Infrastructure Total Return Fund Inc.,19.93,248493079.5,n/a,n/a
TICC,TICC Capital Corp.,4.83,248645545.5,n/a,n/a
BSRR,Sierra Bancorp,18.76,248925089.3,Finance,Major Banks
FDUS,Fidus Investment Corporation,15.29,249238192.3,n/a,n/a
AKBA,"Akebia Therapeutics, Inc.",8.15,249648656.6,Health Care,Major Pharmaceuticals
MXF,"Mexico Fund, Inc. (The)",17.7399,249850295,n/a,n/a
BSTC,BioSpecifics Technologies Corp,36.12,249885889.7,Health Care,Major Pharmaceuticals
AT,Atlantic Power Corporation,2.05,249912388.1,Energy,Electric Utilities: Central
MYOK,"MyoKardia, Inc.",9.24,249971161.4,Health Care,Major Pharmaceuticals
WOOD,iShares S&P Global Timber & Forestry Index Fund,46.36,250344000,n/a,n/a
TSI,"TCW Strategic Income Fund, Inc.",5.2599,250828625.1,n/a,n/a
ARWR,Arrowhead Research Corporation,4.21,251031770.8,Health Care,Biotechnology: Commercial Physical & Biological Resarch
TIPT,Tiptree Financial Inc.,5.84,251278596.9,Finance,Specialty Insurers
FRPT,"Freshpet, Inc.",7.5,251527050,Consumer Non-Durables,Packaged Foods
MHD,"Blackrock MuniHoldings Fund, Inc.",17.87,251679096.4,n/a,n/a
GFA,Gafisa SA,1.37,251724761.7,Basic Industries,Homebuilding
HIFS,Hingham Institution for Savings,118.28,251788550,n/a,n/a
IMMU,"Immunomedics, Inc.",2.66,252011459,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
BGFV,Big 5 Sporting Goods Corporation,11.5,252011943,Consumer Services,Other Specialty Stores
SSI,"Stage Stores, Inc.",8.25,252122310,Consumer Services,Clothing/Shoe/Accessory Stores
POPE,Pope Resources,58,252173676,Consumer Non-Durables,Environmental Services
GDO,Western Asset Global Corporate Defined Opportunity Fund Inc.,16.44,252300997.4,n/a,n/a
ZAGG,ZAGG Inc,9.13,252491802.5,Consumer Services,Other Specialty Stores
CCBG,Capital City Bank Group,14.67,252641620.2,Finance,Major Banks
TREC,Trecora Resources,10.44,252672492.2,Energy,Integrated oil Companies
FKU,First Trust United Kingdom AlphaDEX Fund,37.72,252724075.4,n/a,n/a
EVG,Eaton Vance Short Diversified Income Fund,13.405,253174819.4,n/a,n/a
NPV,Nuveen Virginia Premium Income Municipal Fund,14.13,253349585.9,n/a,n/a
OMN,OMNOVA Solutions Inc.,5.66,253610976.4,Basic Industries,Specialty Chemicals
TBNK,Territorial Bancorp Inc.,26.2,253624436.4,Finance,Savings Institutions
KF,"Korea Fund, Inc. (The)",32.14,253636763.2,n/a,n/a
CSS,"CSS Industries, Inc.",27.99,254046812.6,Consumer Services,Consumer: Greeting Cards
